################################################################
#
# Polarizable Charge Equilibration (PQEq) Parameter Set
#
# contacts:
# Saber Naserifar, naseri@caltech.edu
# William A. Goddard III, wag@wag.caltech.edu
#
#
################################################################
#E P     Xo      Jo        Z        Rc      Rs          Ks
################################################################ 
 H 1  4.52800 12.98410 1.000000  0.37100  0.37100   2037.20061 
He 1  9.66000 29.84000 1.000000  1.30000  1.30000   1619.41057 
Li 1  3.00600  4.77200 1.000000  1.55700  1.55700     13.64832 
Be 1  4.87700  8.88600 1.000000  1.24000  1.24000     59.29709 
 B 1  5.11000  9.50000 1.000000  0.82200  0.82200    109.59198 
 C 1  5.34300 10.12600 1.000000  0.75900  0.75900    198.84054 
 N 1  6.89900 11.76000 1.000000  0.71500  0.71500    301.87609 
 O 1  8.74100 13.36400 1.000000  0.66900  0.66900    414.04451 
 F 1 10.87400 14.94800 1.000000  0.70600  0.70600    596.16463 
Ne 1 11.04000 21.10000 1.000000  1.76800  1.76800    842.11732 
Na 1  2.84300  4.59200 1.000000  2.08500  2.08500     13.77286 
Mg 1  3.95100  7.38600 1.000000  1.50000  1.50000     31.32676 
Al 1  4.06000  7.18000 1.000000  1.20100  1.20100     48.83290 
Si 1  4.16800  6.97400 1.000000  1.17600  1.17600     60.04769 
 P 1  5.46300  8.00000 1.000000  1.10200  1.10200     91.47760 
 S 1  6.92800  8.97200 1.000000  1.04700  1.04700    114.50472 
Cl 1  8.56400  9.89200 1.000000  0.99400  0.99400    152.32280 
Ar 1  9.46500 12.71000 1.000000  2.10800  2.10800    202.34215 
 K 1  2.42100  3.84000 1.000000  2.58600  2.58600      7.71165 
Ca 1  3.23100  5.76000 1.000000  2.00000  2.00000     14.56420 
Sc 1  3.39500  6.16000 1.000000  1.75000  1.75000     18.65526 
Ti 1  3.47000  6.76000 1.000000  1.60700  1.60700     22.74409 
 V 1  3.65000  6.82000 1.000000  1.47000  1.47000     26.77933 
Cr 1  3.41500  7.73000 1.000000  1.40200  1.40200     28.62618 
Mn 1  3.32500  8.21000 1.000000  1.53300  1.53300     35.32593 
Fe 1  3.76000  8.28000 1.000000  1.39300  1.39300     39.53139 
Co 1  4.10500  8.35000 1.000000  1.40600  1.40600     44.27516 
Ni 1  4.46500  8.41000 1.000000  1.39800  1.39800     48.83290 
Cu 1  3.72900  5.00200 1.000000  1.43400  1.43400     53.55866 
Zn 1  5.10600  8.57000 1.000000  1.40000  1.40000     57.75021 
Ga 1  3.64100  6.32000 1.000000  1.21100  1.21100     40.89454 
Ge 1  4.05100  6.87600 1.000000  1.18900  1.18900     56.86022 
As 1  5.18800  7.61800 1.000000  1.20400  1.20400     77.04494 
Se 1  6.42800  8.26200 1.000000  1.22400  1.22400     88.08056 
Br 1  7.79000  8.85000 1.000000  1.14100  1.14100    108.87334 
Kr 1  8.50500 11.43000 1.000000  2.27000  2.27000    133.65952 
Rb 1  2.33100  3.69200 1.000000  2.77000  2.77000      7.02929 
Sr 1  3.02400  4.88000 1.000000  2.41500  2.41500     12.03129 
 Y 1  3.83000  5.62000 1.000000  1.99800  1.99800     14.62836 
Zr 1  3.40000  7.10000 1.000000  1.75800  1.75800     18.55104 
Nb 1  3.55000  6.76000 1.000000  1.60300  1.60300     21.15055 
Mo 1  3.46500  7.51000 1.000000  1.53000  1.53000     25.94248 
Tc 1  3.29000  7.98000 1.000000  1.50000  1.50000     29.12839 
Ru 1  3.57500  8.03000 1.000000  1.50000  1.50000     34.58997 
Rh 1  3.97500  8.01000 1.000000  1.50900  1.50900     38.61206 
Pd 1  4.32000  8.00000 1.000000  1.54400  1.54400     69.17994 
Ag 1  4.43600  6.26800 1.000000  1.62200  1.62200     48.97695 
Cd 1  5.03400  7.91400 1.000000  1.60000  1.60000     45.11735 
In 1  3.50600  5.79200 1.000000  1.40400  1.40400     32.55526 
Sn 1  3.98700  6.24800 1.000000  1.35400  1.35400     52.87639 
Sb 1  4.89900  6.68400 1.000000  1.40400  1.40400     50.31268 
Te 1  5.81600  7.05200 1.000000  1.38000  1.38000     60.37522 
 I 1  6.82200  7.52400 1.000000  1.33300  1.33300     62.06798 
Xe 1  7.59500  9.95000 1.000000  2.45900  2.45900     82.11269 
Cs 1  2.18300  3.42200 1.000000  2.98400  2.98400      5.58842 
